Model,Best_Params,RMSE_Train,RMSE_Test,R2_Train,R2_Test,RMSE_CV_Mean,RMSE_CV_STD,R2_CV_Mean,R2_CV_STD
Ridge,{'alpha': 10.0},0.23403653175629197,0.20813952612724693,0.7348730958553458,0.7867893324123112,0.27912396107143833,0.02131068236333138,0.5570214863475318,0.11107321409226692
XGBoost,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500, 'subsample': 0.8}",0.02785711732858238,0.2244218229291096,0.9962437123687992,0.7521265688259472,0.2856063137381185,0.058146842335995125,0.5484729810802346,0.12744267844027177
Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.10937517193263813,0.22495535112550707,0.9420939433415129,0.750946606361564,0.2690158395455641,0.056372818086822304,0.6030757814246058,0.1150138576720079
Extra Trees,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 500}",0.0035162344724921513,0.22519474463144584,0.999940153032637,0.7504162478794516,0.28001820897808893,0.08180813126233664,0.5821836929327804,0.14569002000063055
SVR,"{'C': 100, 'gamma': 0.01, 'kernel': 'poly'}",0.14941684080759235,0.27441117351696226,0.8919348668654103,0.6294017286813933,0.27007236667759277,0.07115260437159261,0.5975873561400009,0.15112304379013985
KNN,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.20476246932803852,0.2789763032549141,0.7970508624675829,0.616968547619321,0.281411951052695,0.04884298349854211,0.5728522434318954,0.052728121669284575
Gradient Boosting,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300}",6.971881111906626e-08,0.2920682149439953,0.9999999999999765,0.5801749003116712,0.2833396313152465,0.07202046402158885,0.5594955101796076,0.15393903568428652
Kernel Ridge,"{'alpha': 1.0, 'gamma': 0.1, 'kernel': 'polynomial'}",0.06172146579604151,0.2889233318677844,0.9815600832399342,0.589167269401484,0.262317184303411,0.09690595872456431,0.5766060019701088,0.24366367783495582
