Label	$E_a$	$\varepsilon_{d_{sk\uparrow}}$	$\varepsilon_{d_{sk\downarrow}}$	$\varepsilon_{d_{k\uparrow}}$	$\varepsilon_{d_{k\downarrow}}$	$\varepsilon_{d_{c\uparrow}}$	$\varepsilon_{d_{c\downarrow}}$	$\varepsilon_{d_{w\uparrow}}$	$\varepsilon_{d_{w\downarrow}}$	$\varepsilon_{d_{f\uparrow}}$	$\varepsilon_{d_{f\downarrow}}$	$\Delta$E	$R_d$	$\chi_P$	EA	$IP^{1st}$	$V_e$	$CN_{oxides}$	$BE_{M-O}$	$d_{MC}$	$d_{MM}$	$CN_C$	$CN_M$	$CN_{total}$
#45	0.710	-1.482	-1.486	6.109	6.113	-0.677	-0.628	2.262	2.265	0.517	0.499	-2.470	206.000	1.330	41.100	640.100	12.000	7.000	182.400	2.147	2.859	2.000	3.000	5.000
#46	0.940	-1.265	-1.245	5.578	5.531	-1.602	-1.551	2.212	2.201	0.690	0.679	-2.020	190.000	2.160	71.900	684.300	6.000	6.000	233.100	2.046	2.582	2.000	5.000	7.000
#47	1.580	-1.066	-1.067	4.463	4.464	-1.728	-1.729	2.467	2.467	0.652	0.652	-0.830	190.000	2.160	71.900	684.300	6.000	6.000	233.100	2.053	2.709	3.000	5.000	8.000
#48	1.250	-0.886	-0.882	4.599	4.594	-1.423	-1.403	1.972	1.961	0.636	0.630	-1.360	190.000	2.160	71.900	684.300	6.000	6.000	233.100	2.064	2.560	2.000	5.000	7.000
#49	1.540	-0.812	-0.820	4.152	4.149	-1.694	-1.669	2.145	2.138	0.648	0.638	-0.880	190.000	2.160	71.900	684.300	6.000	6.000	233.100	2.046	2.653	2.000	5.000	7.000
#50	1.260	-0.969	-0.963	4.607	4.576	-1.803	-1.757	2.270	2.259	0.694	0.677	-1.600	190.000	2.160	71.900	684.300	6.000	6.000	233.100	1.986	2.794	3.000	5.000	8.000
#51	0.540	-1.620	-1.610	7.034	7.003	-0.109	-0.098	1.967	1.967	0.423	0.421	-1.810	206.000	1.330	41.100	640.100	12.000	7.000	182.400	2.249	2.853	2.000	2.000	4.000
#52	0.580	-1.311	-1.308	5.869	5.846	-0.647	-0.625	1.925	1.925	0.525	0.521	-1.900	198.000	1.600	86.100	652.100	13.000	8.000	207.200	2.153	2.702	2.000	4.000	6.000
#53	1.000	-1.435	-2.018	8.232	9.154	-1.104	0.124	1.601	2.028	0.732	0.361	-1.660	166.000	1.660	64.300	652.900	6.000	6.000	576.600	2.034	2.578	2.000	5.000	7.000
#54	0.950	-2.043	-2.044	9.351	9.353	0.054	0.043	1.996	1.997	0.373	0.375	-2.030	176.000	1.540	7.600	658.800	4.000	6.000	458.500	2.162	2.678	2.000	4.000	6.000
#55	0.770	-1.814	-1.810	8.322	8.307	-0.367	-0.364	1.957	1.957	0.472	0.471	-1.890	171.000	1.630	50.600	650.900	5.000	5.000	517.200	2.045	2.566	2.000	5.000	7.000
#56	1.320	-0.839	-1.866	8.014	9.734	-2.059	-0.406	1.387	1.665	0.895	0.518	-1.340	156.000	1.830	15.700	762.500	8.000	8.000	711.000	1.981	2.603	2.000	5.000	7.000
#57	1.590	-1.096	-1.092	10.185	10.176	-1.585	-1.585	1.203	1.203	0.893	0.893	-1.170	149.000	1.910	112.000	737.100	10.000	7.000	853.600	2.092	2.574	2.000	5.000	7.000
#58	1.630	-1.363	-1.367	9.028	9.033	-1.306	-1.295	1.447	1.448	0.808	0.806	-1.220	152.000	1.880	63.700	760.400	9.000	9.000	780.000	1.966	2.581	2.000	4.000	6.000
#59	0.780	-1.083	-1.080	4.950	4.939	-1.578	-1.570	2.246	2.246	0.674	0.673	-1.720	193.000	2.360	78.600	770.000	6.000	7.000	35.600	2.069	2.602	2.000	5.000	7.000
#60	0.830	-1.123	-1.128	5.245	5.259	-1.364	-1.371	2.112	2.112	0.667	0.668	-1.650	190.000	2.160	71.900	684.300	6.000	6.000	233.100	2.093	2.611	2.000	4.000	6.000
#61	1.600	-0.215	-0.222	4.909	4.923	-3.319	-3.190	1.811	1.811	0.905	0.906	-0.870	177.000	2.280	205.300	870.000	10.000	7.000	74.900	2.100	2.659	2.000	4.000	6.000
